Id;País;ano;Quantidade (Kg)
14;Portugal;1989;0
15;Panamá;1989;0
16;Reino Unido;1989;0
17;Uruguai;1989;1050000
18;Venezuela;1989;0
19;Não consta na tabela;1989;0
20;Outros;1989;0
1;Argélia;1989;0
2;Argentina;1989;4014451
3;Brasil;1989;0
4;Chile;1989;5594118
5;Colômbia;1989;0
6;Egito;1989;0
7;Espanha;1989;0
8;Estados Unidos;1989;74756
9;Grécia;1989;0
10;Itália;1989;0
11;México;1989;0
12;Peru;1989;0
13;Paraguai;1989;0
14;Portugal;1989;0
15;Panamá;1989;0
16;Reino Unido;1989;0
17;Uruguai;1989;920000
18;Venezuela;1989;0
19;Não consta na tabela;1989;0
20;Outros;1989;0
1;Argélia;1990;0
2;Argentina;1990;6901560
3;Brasil;1990;0
4;Chile;1990;7022798
5;Colômbia;1990;110770
6;Egito;1990;0
7;Espanha;1990;0
8;Estados Unidos;1990;646956
9;Grécia;1990;0
10;Itália;1990;0
11;México;1990;0
12;Peru;1990;0
13;Paraguai;1990;0
14;Portugal;1990;0
15;Panamá;1990;0
16;Reino Unido;1990;0
17;Uruguai;1990;0
18;Venezuela;1990;0
19;Não consta na tabela;1990;0
20;Outros;1990;0
1;Argélia;1990;0
2;Argentina;1990;4832246
3;Brasil;1990;0
4;Chile;1990;6150550
5;Colômbia;1990;104715
6;Egito;1990;0
7;Espanha;1990;0
8;Estados Unidos;1990;1027570
9;Grécia;1990;0
10;Itália;1990;0
11;México;1990;0
12;Peru;1990;0
13;Paraguai;1990;0
14;Portugal;1990;0
15;Panamá;1990;0
16;Reino Unido;1990;0
17;Uruguai;1990;0
18;Venezuela;1990;0
19;Não consta na tabela;1990;0
20;Outros;1990;0
1;Argélia;1991;0
2;Argentina;1991;4050739
3;Brasil;1991;0
4;Chile;1991;7895955
5;Colômbia;1991;39800
6;Egito;1991;0
7;Espanha;1991;0
8;Estados Unidos;1991;136642
9;Grécia;1991;0
10;Itália;1991;0
11;México;1991;0
12;Peru;1991;0
13;Paraguai;1991;0
14;Portugal;1991;0
15;Panamá;1991;0
16;Reino Unido;1991;0
17;Uruguai;1991;8627
18;Venezuela;1991;0
19;Não consta na tabela;1991;0
20;Outros;1991;0
1;Argélia;1991;0
2;Argentina;1991;3127738
3;Brasil;1991;0
4;Chile;1991;7033148
5;Colômbia;1991;38190
6;Egito;1991;0
7;Espanha;1991;0
8;Estados Unidos;1991;199080
9;Grécia;1991;0
10;Itália;1991;0
11;México;1991;0
12;Peru;1991;0
13;Paraguai;1991;0
14;Portugal;1991;0
15;Panamá;1991;0
16;Reino Unido;1991;0
17;Uruguai;1991;8196
18;Venezuela;1991;0
19;Não consta na tabela;1991;0
20;Outros;1991;0
1;Argélia;1992;0
2;Argentina;1992;1836310
3;Brasil;1992;0
4;Chile;1992;2757676
5;Colômbia;1992;0
6;Egito;1992;0
7;Espanha;1992;0
8;Estados Unidos;1992;134098
9;Grécia;1992;0
10;Itália;1992;0
11;México;1992;0
12;Peru;1992;0
13;Paraguai;1992;50004
14;Portugal;1992;0
15;Panamá;1992;0
16;Reino Unido;1992;0
17;Uruguai;1992;7949
18;Venezuela;1992;0
19;Não consta na tabela;1992;0
20;Outros;1992;0
1;Argélia;1992;0
2;Argentina;1992;1550210
3;Brasil;1992;0
4;Chile;1992;2484872
5;Colômbia;1992;0
6;Egito;1992;0
7;Espanha;1992;0
8;Estados Unidos;1992;126758
9;Grécia;1992;0
10;Itália;1992;0
11;México;1992;0
12;Peru;1992;0
13;Paraguai;1992;50004
14;Portugal;1992;0
15;Panamá;1992;0
16;Reino Unido;1992;0
17;Uruguai;1992;7551
18;Venezuela;1992;0
19;Não consta na tabela;1992;0
20;Outros;1992;0
1;Argélia;1993;0
2;Argentina;1993;972100
3;Brasil;1993;0
4;Chile;1993;3187970
5;Colômbia;1993;0
6;Egito;1993;0
7;Espanha;1993;0
8;Estados Unidos;1993;333284
9;Grécia;1993;0
10;Itália;1993;0
11;México;1993;0
12;Peru;1993;0
13;Paraguai;1993;0
14;Portugal;1993;0
15;Panamá;1993;0
16;Reino Unido;1993;0
17;Uruguai;1993;1000
18;Venezuela;1993;750
19;Não consta na tabela;1993;0
20;Outros;1993;13716
1;Argélia;1993;0
2;Argentina;1993;900700
3;Brasil;1993;0
4;Chile;1993;3053050
5;Colômbia;1993;0
6;Egito;1993;0
7;Espanha;1993;0
8;Estados Unidos;1993;378605
9;Grécia;1993;0
10;Itália;1993;0
11;México;1993;0
12;Peru;1993;0
13;Paraguai;1993;0
14;Portugal;1993;0
15;Panamá;1993;0
16;Reino Unido;1993;0
17;Uruguai;1993;872
18;Venezuela;1993;450
19;Não consta na tabela;1993;0
20;Outros;1993;22020
1;Argélia;1994;0
2;Argentina;1994;1477530
3;Brasil;1994;0
4;Chile;1994;5195415
5;Colômbia;1994;0
6;Egito;1994;0
7;Espanha;1994;0
8;Estados Unidos;1994;1570874
9;Grécia;1994;0
10;Itália;1994;0
11;México;1994;0
12;Peru;1994;0
13;Paraguai;1994;100000
14;Portugal;1994;0
15;Panamá;1994;0
16;Reino Unido;1994;0
17;Uruguai;1994;3400
18;Venezuela;1994;36940
19;Não consta na tabela;1994;0
20;Outros;1994;0
1;Argélia;1994;0
2;Argentina;1994;1323381
3;Brasil;1994;0
4;Chile;1994;4483546
5;Colômbia;1994;0
6;Egito;1994;0
7;Espanha;1994;0
8;Estados Unidos;1994;1597414
9;Grécia;1994;0
10;Itália;1994;0
11;México;1994;0
12;Peru;1994;0
13;Paraguai;1994;83333
14;Portugal;1994;0
15;Panamá;1994;0
16;Reino Unido;1994;0
17;Uruguai;1994;3720
18;Venezuela;1994;9122
19;Não consta na tabela;1994;0
20;Outros;1994;0
1;Argélia;1995;0
2;Argentina;1995;4102859
3;Brasil;1995;0
4;Chile;1995;17084555
5;Colômbia;1995;0
6;Egito;1995;0
7;Espanha;1995;0
8;Estados Unidos;1995;2395752
9;Grécia;1995;0
10;Itália;1995;0
11;México;1995;4504
12;Peru;1995;0
13;Paraguai;1995;0
14;Portugal;1995;0
15;Panamá;1995;0
16;Reino Unido;1995;0
17;Uruguai;1995;16500
18;Venezuela;1995;284005
19;Não consta na tabela;1995;0
20;Outros;1995;3616
1;Argélia;1995;0
2;Argentina;1995;3689808
3;Brasil;1995;0
4;Chile;1995;13501738
5;Colômbia;1995;0
6;Egito;1995;0
7;Espanha;1995;0
8;Estados Unidos;1995;2559002
9;Grécia;1995;0
10;Itália;1995;0
