id;control;cultivar;ano;Quantidade (Kg)
47;br_Goethe;Goethe;1977;20404
48;br_IAC;IAC;1977;0
49;br_Juliana;Juliana;1977;0
50;br_Martha;Martha;1977;921
51;br_Mistura de uvas americanas;Mistura de uvas americanas;1977;0
52;br_MoscatoEmbrapa;Moscato Embrapa;1977;0
53;br_Niagara;Niagara;1977;2468965
54;br_NiagaraBranca;Niagara Branca;1977;0
55;br_NiagaraRosada;Niagara Rosada;1977;0
56;br_Poloske;Poloske;1977;0
57;br_Seleções;Seleções;1977;0
58;br_SeyveVillard;Seyve Villard;1977;84230
59;br_SeyveVillard5276;Seyve Villard 5276;1977;0
60;br_SeyveVillard12375;Seyve Villard 12375;1977;0
61;br_TardiadeCaxias;Tardia de Caxias;1977;0
62;br_Outras;Outras(2);1977;0
1;TINTAS;TINTAS;1978;295012354
2;ti_Bacarina;Bacarina;1978;0
3;ti_Bailey;Bailey;1978;0
4;ti_Bordo;Bordo;1978;22247163
5;ti_Bourdin (S);Bourdin (S);1978;0
6;ti_BRSCarmen;BRS Carmen;1978;0
7;ti_BRSCora;BRS Cora;1978;0
8;ti_BRS Magna;BRS Magna;1978;0
9;ti_BRS Margot;BRS Margot;1978;0
10;ti_BRSMorena;BRS Morena;1978;0
29;ti_BRS Núbia ;BRS Núbia ;1978;0
11;ti_BRS Rúbea;BRS Rúbea;1978;0
12;ti_BRSVioleta;BRS Violeta;1978;0
13;ti_BRS Vitória;BRS Vitória;1978;0
15;ti_Champagnon(Champanheta);Champagnon (Champanheta);1978;0
16;ti_Coleções;Coleções;1978;0
17;ti_Concord;Concord;1978;8520060
18;ti_Concordclone30;Concord clone 30;1978;0
19;ti_Couderc;Couderc;1978;4406881
20;ti_Cynthiana(1);Cynthiana(1);1978;491780
21;ti_Herbemont;Herbemont;1978;46594020
22;ti_IAC138022;IAC 138022;1978;0
23;ti_Isabel;Isabel;1978;202315021
24;ti_IsabelPrecoce;Isabel Precoce;1978;0
25;ti_Jacquez;Jacquez;1978;578872
26;ti_Kyoko;Kyoko;1978;0
27;ti_Landot;Landot;1978;44974
28;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;1978;0
29;ti_Oberlin;Oberlin;1978;13670
30;ti_Othello;Othello;1978;59623
31;ti_Paco;Paco;1978;0
32;ti_Patricia;Patricia;1978;0
33;ti_Seibel;Seibel;1978;9740290
34;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);1978;0
35;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);1978;0
36;ti_Vênus;Vênus;1978;0
37;BRANCASEROSADAS;BRANCAS E ROSADAS;1978;3780127
38;br_Baco;Baco;1978;0
39;br_Bokay;Bokay;1978;0
40;br_BRS Bibiana ;BRS Bibiana ;1978;0
41;br_BRSClara;BRS Clara;1978;0
42;br_BRSLorena;BRS Lorena;1978;0
43;br_Couderc13;Couderc 13;1978;0
44;br_Delaware;Delaware;1978;0
45;br_DonaZillá;Dona Zillá;1978;0
46;br_DutChess;Dut Chess;1978;0
47;br_Goethe;Goethe;1978;347450
48;br_IAC;IAC;1978;0
49;br_Juliana;Juliana;1978;0
50;br_Martha;Martha;1978;10749
51;br_Mistura de uvas americanas;Mistura de uvas americanas;1978;0
52;br_MoscatoEmbrapa;Moscato Embrapa;1978;0
53;br_Niagara;Niagara;1978;3239522
54;br_NiagaraBranca;Niagara Branca;1978;0
55;br_NiagaraRosada;Niagara Rosada;1978;0
56;br_Poloske;Poloske;1978;0
57;br_Seleções;Seleções;1978;0
58;br_SeyveVillard;Seyve Villard;1978;182406
59;br_SeyveVillard5276;Seyve Villard 5276;1978;0
60;br_SeyveVillard12375;Seyve Villard 12375;1978;0
61;br_TardiadeCaxias;Tardia de Caxias;1978;0
62;br_Outras;Outras(2);1978;0
1;TINTAS;TINTAS;1979;301385687
2;ti_Bacarina;Bacarina;1979;29525
3;ti_Bailey;Bailey;1979;0
4;ti_Bordo;Bordo;1979;20061699
5;ti_Bourdin (S);Bourdin (S);1979;0
6;ti_BRSCarmen;BRS Carmen;1979;0
7;ti_BRSCora;BRS Cora;1979;0
8;ti_BRS Magna;BRS Magna;1979;0
9;ti_BRS Margot;BRS Margot;1979;0
10;ti_BRSMorena;BRS Morena;1979;0
29;ti_BRS Núbia ;BRS Núbia ;1979;0
11;ti_BRS Rúbea;BRS Rúbea;1979;0
12;ti_BRSVioleta;BRS Violeta;1979;0
13;ti_BRS Vitória;BRS Vitória;1979;0
